TOSPCD,TOSPDSC
SB805A,"ANKLE, VARIOUS LESIONS, SYNOVECTOMIES"
SB806A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT, OPEN/MIS/NAVIGATED"
SB700B,"BONE (LOWER LIMB), TUMOR (BENIGN), >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION"
SB701B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION >6CM WITH RECONSTRUCTION AND BONE GRAFT"
SB702B,"BONE (SKULL), TUMOR (LARGE>3CM), EXCISION AND EXTENSIVE RECONSTRUCTION (DURA, SKULL, SKIN)"
SB703B,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (MORE THAN1/ BILATERAL)"
SB704B,"BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION"
SB705B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE, > 1 LESION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)"
SB706B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL,ETC) , SINGLE LESION"
SB707B,"BONE, TUMOR (MALIGNANT), AROUND JOINTS WITH LIMB RECONSTRUCTION AND JOINT REPLACEMENT"
SB708B,"BONE, TUMOUR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (VASCULARISED BONE GRAFT)"
SB709B,"BONE, VARIOUS LESIONS, OPEN BIOPSY, CEMENTING/PLATE FIXATION"
SB710B,"BONE/SOFT TISSUE, VARIOUS LESIONS, TRUCUT BIOPSY"
SB711B,"BONE/ SOFT TISSUE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY"
SB712B,"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)"
SB713B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX, > 1 LESION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)"
SB800B,"BONE, CYST/TUMOUR BENIGN/BENIGN AGGRESSIVE, CURRETTAGE/BURRING/BONE GRAFTING/CEMENTING"
SB801B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH INTERNAL FIXATION WITH OR WITHOUT FLUOROSCOPY"
SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE"
SB803B,"BONE (LOWER LIMB), DEFECT/NON UNION, IMPLANTATION OF BONE STIMULATOR"
SB804B,"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION"
SB805B,"BONE (LOWER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION WOUND DEBRIDEMENT"
SB806B,"BONE (LOWER LIMB), OSTEOMYELITIS, DRAINAGE WITH CURETTAGE AND IRRIGATION"
SB807B,"BONE (LOWER LIMB), OSTEOMYELITIS, SIMPLE DRAINAGE"
SB808B,"BONE AND JOINTS (LOWER LIMB), PLATES AND SCREWS/NAILS, REMOVAL"
SB809B,"BONE AND JOINTS (LOWER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)"
SB810B,"BONE (LOWER LIMB), TUMOR (BENIGN), <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION"
SB811B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (<6CM) WITH RECONSTRUCTION AND BONE GRAFTING"
SB812B,"BONE (LOWER LIMB), VARIOUS LESIONS, EPIPHYSIOLYSIS WITH/WITHOUT MICROSURGERY"
SB813B,"BONE (SKULL), TUMOR (SMALL<3CM) EXCISION WITH CRANIOPLASTY"
SB814B,"BONE (SKULL), TUMOR (LARGE>3CM) EXCISION WITH CRANIOPLASTY"
SB815B,"BONE (SKULL), TUMOR (MALIGNANT), WIDE EXCISION"
SB817B,"BONE (UPPER/LOWER LIMB), BONE LOSS/NONUNION, BONE GRAFTING"
SB818B,"BONE (UPPER LIMB), DEFORMITIES, CORRECTIVE SURGERY"
SB819B,"BONE AND JOINTS (UPPER LIMB), DEFORMITIES, OSTEOTOMIES AND FIXATION WITH OR WITHOUT FLUOROSCOPY/BONE GRAFT"
SB820B,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (SINGLE)"
SB821B,"BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST"
SB822B,"BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT"
SB823B,"BONE (UPPER LIMB), OSTEOMYELITIS, EXTENSIVE CURETTAGE/DEBRIDEMENT AND IRRIGATION"
SB824B,"BONE (UPPER LIMB), OSTEOMYELITIS SIMPLE DRAINAGE"
SB825B,"BONE AND JOINTS (UPPER LIMB), PLATES AND SCREWS, REMOVAL"
SB826B,"BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)"
SB827B,"BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION"
SB828B,"BONE (UPPER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION"
SB829B,"BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION"
SB830B,"BONE (UPPER/LOWER LIMB), VARIOUS LESIONS, BONE LOSS, BONE TRANSFER"
SB831B,"BONE, TUMOR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (NON VASCULARISED BONE GRAFT)"
SB832B,"BONE, VARIOUS LESIONS, BIOPSY"
SB833B,"BONE (UPPER LIMB/LOWER LIMB), VARIOUS LESIONS, VASCULARISED BONE TRANSFER"
SB834B,"BURSA, BURSITIS, EXCISION BIOPSY (SINGLE)"
SB700C,CALCANEUM FRACTURE EXTRA-ARTICULAR OPEN REDUCTION INTERNAL FIXATION
SB701C,"CLAVICLE, CLAVICLE FRACTURE, COMMINUTED PLATING WITH OR WITHOUT BONE GRAFTING"
SB702C,"CLAVICLE, CLAVICLE FRACTURE, DELAYED UNION/REVISION AND ORIF WITH/WITHOUT BONE GRAFTING"
SB800C,"CARPUS, DELAYED/NON UNION, RECONSTRUCTION"
SB801C,"CARPUS, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION"
SB802C,"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION OR DISC REPLACEMENT (2 SEGMENTS)"
SB803C,"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION OR DISC REPLACEMENT (1 SEGMENT)"
SB804C,CERVICAL SPINE - APPLICATION OF SKULL CALIPERS WITHOUT OTHER PROCEDURES
SB805C,"CLAVICLE, CLAVICLE FRACTURE, SIMPLE"
SB806C,"COCCYX, VARIOUS LESIONS, EXCISION"
SB700D,"DIGIT(S), NAILBED LACERATION, NAILBED GRAFTING"
SB701D,"DIGIT(S), SOFT TISSUE DEFECT, COMPLEX SMALL SKIN FLAPS, MULTIPLE FLAPS"
SB702D,"DIGIT(S), SOFT TISSUE DEFECT, LARGE COMPLEX PEDICLED FLAPS"
SB703D,"DIGIT(S), SOFT TISSUE DEFECT, SIMPLE SKIN FLAP"
SB700E,"ELBOW,THERAPEUTIC ARTHROSCOPY"
SB701E,"ELBOW, CONDYLE/RADIAL HEAD FRACTURE, RADIAL HEAD EXCISION/CONDYLE/ARTHROPLASTY"
SB702E,"ELBOW, CORONOID FRACTURE, ORIF"
SB703E,"ELBOW, DISLOCATION , LIGAMENT REPAIR (COMPLEX, WITH/WITHOUT IMPLANT)"
SB704E,"ELBOW, DISLOCATION , LIGAMENT REPAIR (SINGLE)"
SB705E,"ELBOW, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (ORIF)"
SB706E,"ELBOW, SUPRACONDYLAR FRACTURE, M&R, PERCUTANEOUS PINNING"
SB707E,"ELBOW, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS, OPEN/MIS/NAVIGATED"
SB708E,"ELBOW, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY, OPEN/MIS/NAVIGATED"
SB709E,"ELBOW, VARIOUS LESIONS, REVISION TOTAL JOINT ARTHROPLASTY, OPEN/MIS/NAVIGATED"
SB800E,"ELBOW (MEDIAL EPICONDYLE), FRACTURE, EXCISION BONY FRAGMENT"
SB801E,"ELBOW, FRACTURE/ DISLOCATION, REPAIR OF LIGAMENTS/ ORIF"
SB802E,"ELBOW, TENNIS ELBOW, RELEASE"
SB803E,"ELBOW, VARIOUS LESIONS, RECONSTRUCTION WITH OR WITHOUT SYNOVECTOMY"
SB700F,"FACE, FRACTURE, ENDOSCOPIC REDUCTION AND FIXATION"
SB701F,"FACE, FRACTURES (PANFACIAL), OPEN REDUCTION AND INTERNAL FIXATION"
SB702F,"FEMUR, DELAYED/NON UNION, WITH RE-INTERNAL FIXATION AND BONE GRAFTING"
SB703F,"FEMUR, FRACTURE (COMPLEX INTRA-ARTICULAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH PLATE AND SCREWS"
SB705F,"FEMUR, FRACTURE (MULTIFRAGMENTARY), INTRAMEDULLARY NAILING (WITH OR WITHOUT LOCKING)"
SB706F,"FEMUR, FRACTURE (INTERCONDYLAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)"
SB707F,"FEMUR, NECK OF FEMUR FRACTURE (PAEDIATRIC), PIN FIXATION"
SB708F,"FEMUR, FRACTURE (PAEDIATRIC SHAFT), INTRAMEDULLARY FLEXIBLE NAILING"
SB709F,"FEMUR, FRACTURE (SINGLE CONDYLAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)"
SB710F,"FEMUR, SLIPPED CAPITAL FEMORAL EPIPHYSIS (SCFE), SCREW FIXATION"
SB711F,"FINGER, DEFECT/CONTRACTURE (MULTIPLE), RECONSTRUCTION"
SB712F,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (MULTIPLE)"
SB713F,"FOREARM, RADIAL HEAD FRACTURE, OPEN REDUCTION OF RADIAL HEAD FOR MISSED MONTEGGIA"
SB714F,"FOREARM, RADIUS/ULNA SHAFT FRACTURE, INTRAMEDULLARY ROD"
SB715F,"FOOT, ACHILLES TENDON RECONSTRUCTION"
SB716F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), BILATERAL RELEASE"
SB717F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), MEDIAL RELEASE"
SB718F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POST MEDIAL RELEASE"
SB719F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POST RELEASE"
SB720F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POSTERIOR MEDIAL RELEASE WITH REVISION"
SB721F,"FOOT, FRACTURES, COMPLEX, MULTIPLE, INCLUDING TALUS AND CALCANEUM, OPEN REDUCTION AND INTERNAL FIXATION"
SB722F,"FOOT, FRACTURES, SIMPLE, SINGLE"
SB724F,"FOOT, HAGLUND'S DEFORMITY, OSTEOTOMY"
SB725F,"FOOT, ONE BONE OSTEOTOMY WITH SOFT TISSUE RELEASE, CUBOID"
SB726F,"FOOT, ONE BONE OSTEOTOMY WITH SOFT TISSUE RELEASE, DWYERâ€™S (CALCANEAL)"
SB727F,"FOOT, MULTIPLE FOOT OSTEOTOMIES"
SB728F,"FOOT, POSTERIOR TIBIAL TENDON DYSFUNCTION (PTTD), POSTERIOR TIBIALIS RECONSTRUCTION"
SB729F,"FOOT, TENDON TRANSFERS, SPLIT TIBIALIS ANTERIOR TENDON TRANSFER (SPLATT)"
SB730F,"FOOT, TENDON TRANSFERS, SPLIT TIBIALIS POSTERIOR TENDON TRANSFER (SPLOTT)"
SB731F,"FOOT, TENDON TRANSFERS, TIBIA ANTERIOR TRANSFER"
SB732F,"FOOT, HALLUX VALGUS/HAMMER TOE, PROXIMAL OSTEOTOMY, WITH OR WITHOUT SOFT TISSUE RECONSTRUCTION"
SB800F,"FACE, CONTOUR DEFECT, RECONSTRUCTION / INSERTION OF IMPLANT(S)"
SB801F,"FACE, DEFECT / DEFORMITY, RECONSTRUCTION / INSERTION OF IMPLANT"
SB802F,"FACE, FRACTURES (MORE THAN 2), OPEN REDUCTION AND INTERNAL FIXATION"
SB803F,"FACE, INFECTION / OSTEOMYELITIS, MAJOR DRAINAGE/SEQUESTRECTOMY"
SB804F,"FACE, INFECTION / OSTEOMYELITIS, SIMPLE DRAINAGE/SEQUESTRECTOMY"
SB805F,"FACE, INTRAOSSEOUS TUMOR (LARGE), EXCISION"
SB806F,"FACE, INTRAOSSEOUS TUMOR (SMALL), EXCISION"
SB807F,"FASCIA PALMAR, DUPUYTREN'S CONTRACTURE, FASCIECTOMY (MULTIPLE)"
SB808F,"FASCIA PALMAR, DUPUYTREN'S CONTRACTURE, FASCIECTOMY (SINGLE)"
SB809F,"FEMUR, DELAYED/NON UNION, WITH BONE GRATING"
SB810F,"FEMUR, FRACTURE (FEMUR SHAFT), INTRAMEDULLARY NAILING/ROD (WITH OR WITHOUT LOCKING)"
SB811F,"FEMUR, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATE AND SCREWS"
SB812F,"FINGER, DEFECT/CONTRACTURE (SINGLE), RECONSTRUCTION"
SB813F,"FINGER, DEFORMITIES, CORRECTION"
SB814F,"FINGER, INJURY, DEBRIDEMENT"
SB816F,"FINGER, RING CONSTRICTION (SINGLE), CORRECTION"
SB817F,"FINGER, RING CONSTRICTION (MULTIPLE), CORRECTION"
SB818F,"FINGER, SWAN NECK/BOUTONNIERE DEFORMITY (SINGLE), CORRECTION"
SB819F,"FINGER, SYNDACTYLY (MULTIPLE), SEPARATION"
SB820F,"FINGER, SYNDACTYLY (SINGLE), CORRECTION"
SB821F,"FINGER, TRAUMA, REPLANTATION (MULTIPLE)"
SB822F,"FINGER, TRAUMA, REPLANTATION/TRANSPLANTATION (SINGLE)"
SB823F,"FINGER, TRAUMA, TERMINALISATION (MULTIPLE)"
SB824F,"FINGER, TRAUMA, TERMINALISATION (SINGLE)"
SB825F,"FINGER, VARIOUS LESIONS, AMPUTATION (MULTIPLE)"
SB826F,"FINGER, VARIOUS LESIONS, AMPUTATION (SINGLE)"
SB827F,"HAND, FREE TOE PULP TRANSFER"
SB828F,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)"
SB829F,"FINGER, VARIOUS LESIONS, SYNOVECTOMY WITH SOFT TISSUE RECONSTRUCTION"
SB830F,"FOOT, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT"
SB831F,"FOOT, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT"
SB832F,"FOOT, HALLUX VALGUS/HAMMER TOE, SOFT TISSUE RECONSTRUCTION"
SB833F,"FOOT, POLYDACTYLY, EXCISION"
SB834F,"FOOT, POLYDACTYLY, EXCISION WITH RECONSTRUCTION"
SB835F,"FOOT, VARIOUS LESIONS, OSTEOTOMY, WITH OR WITHOUT TENDON RECONSTRUCTION"
SB836F,"FOOT, VARIOUS LESIONS, MORE THAN ONE JOINT, ARTHRODESIS"
SB837F,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, SINGLE DIGIT"
SB838F,"FINGER, MACRODACTYLY, SURGICAL REDUCTION OF ENLARGED ELEMENTS, MULTIPLE DIGITS"
SB700H,"HIP/KNEE, THERAPEUTIC ARTHROSCOPY, WITH/WITHOUT SYNOVECTOMY/ LABRAL REPAIR /FAI RESECTION FOR HIP"
SB701H,"HAND AND WRIST, RHEUMATOID HAND RECONSTRUCTION INCLUDING MULTIPLE JOINT SYNOVECTOMY, BONE/JOINT PROCEDURES WITH ARTHROPLASTY (MULTIPLE) AND SOFT TISSUE PROCEDURES"
SB702H,"HAND AND WRIST,  RHEUMATOID HAND RECONSTRUCTION INCLUDING SYNOVECTOMY, BONE/JOINT PROCEDURES WITH/WITHOUT REPLACEMENT ARTHROPLASTY, AND SOFT TISSUE PROCEDURES"
SB703H,"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), NON-JOINT"
SB704H,"HAND, CLOSED FRACTURE, ORIF/PLATE AND SCREWS (SINGLE), JOINT/NON-JOINT"
SB705H,"HAND, CLOSED FRACTURE, ORIF WITH K- WIRE/CERCLAGE WIRE FIXATION"
SB706H,"HAND, COMPLEX INJURIES, DEBRIDEMENT WITH REPAIR/RECONSTRUCTION (MORE THAN 2 TENDONS INVOLVED OR MORE THAN 2 FRACTURES)"
SB707H,"HAND, COMPLEX INJURIES, MICROSURGICAL REPAIR/RECONSTRUCTION, >1 DIGIT"
SB708H,"HAND, FLEXOR TENDON, TRIGGER FINGER (MULTIPLE), RELEASE"
SB709H,"HAND, FLEXOR TENDON, TRIGGER FINGER (SINGLE), RELEASE"
SB710H,"HAND, FRACTURE OF FINGERS/METACARPALS, EXTERNAL FIXATION"
SB711H,"HAND, FRACTURE OF FINGERS/METACARPALS, NON- UNION, BONE-GRAFTING AND FIXATION (MULTIPLE)"
SB712H,"HAND, FRACTURE OF FINGERS/METACARPALS, NON- UNION, BONE-GRAFTING AND FIXATION (SINGLE)"
SB713H,"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), JOINT"
SB714H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (MULTIPLE), JOINT"
SB715H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (MULTIPLE), NON-JOINT"
SB716H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (SINGLE), JOINT"
SB717H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (SINGLE), NON-JOINT"
SB718H,"HAND, SOFT TISSUE TUMOR, EXCISION >1.5CM SIZE"
SB719H,"HIP, ACETABULUM, FRACTURE, DOUBLE COLUMN FIXATION"
SB720H,"HIP, ACETABULUM, FRACTURE, SINGLE COLUMN FIXATION"
SB721H,"HIP, OPEN REDUCTION WITH ACETABULAR OR FEMORAL OSTEOTOMIES"
SB722H,"HIP, SOFT TISSUE RELEASE AND OPEN REDUCTION ONLY"
SB723H,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS, OPEN/MIS/NAVIGATED"
SB724H,"HIP, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT, OPEN/MIS/NAVIGATED"
SB725H,"HIP/KNEE, REMOVAL OF PROSTHESES WITH OR WITHOUT SPACER"
SB726H,"HUMERUS, CUBITUS VARUS, CORRECTIVE OSTEOTOMY WITH CAST OR PINNING"
SB727H,"HUMERUS, CUBITUS VARUS, CORRECTIVE OSTEOTOMY WITH PLATING"
SB728H,"HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH BONE GRAFTING WITHOUT INTERNAL FIXATION"
SB729H,"HUMERUS, HUMERUS SHAFT FRACTURE, CLOSED INTERLOCKING INTRAMEDULLARY NAIL"
SB730H,"HUMERUS, HUMERUS SHAFT FRACTURE, COMPLEX MULTI-FRAGMENTARY INTRAMEDULLARY NAIL"
SB733H,"HAND, FLEXOR TENDON, PULLEY RECONSTRUCTION"
SB800H,"HAND, AMPUTATED DIGIT(S), TOE TO HAND TRANSFER"
SB801H,"HAND, CLOSED FRACTURE/DISLOCATION, OPEN REDUCTION AND FIXATION (SINGLE)"
SB802H,"HAND, COMPLEX INJURIES, DEBRIDEMENT WITH REPAIR/RECONSTRUCTION (1-2 TENDONS INVOLVED OR 1-2 FRACTURES)"
SB803H,"HAND, COMPLEX INJURIES, MICROSURGICAL REPAIR/RECONSTRUCTION, SINGLE DIGIT"
SB804H,"HAND, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT"
SB805H,"HAND, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT"
SB806H,"HAND, DEEP INFECTION, DRAINAGE"
SB807H,"HAND, DEFORMITIES, MAJOR RECONSTRUCTIVE PROCEDURES"
SB808H,"HAND, DEFORMITIES, OSTEOTOMY"
SB809H,"HAND, DEFORMITY, INTRINSIC MUSCLE RELEASE/TRANSFER/EXTENSOR RELOCATION"
SB810H,"HAND, EXTRA DIGIT, AMPUTATION/STUMP REVISION"
SB811H,"HAND, FLEXOR TENDON INJURIES, INSERTION OF SILASTIC ROD(S)"
SB812H,"HAND, FOREIGN BODY (DEEP), REMOVAL WITH MOBILISATION OF NEUROVASCULAR BUNDLE"
SB813H,"HAND, FOREIGN BODY (SUPERFICIAL), REMOVAL WITH MOBILISATION OF NEUROVASCULAR BUNDLE"
SB814H,"HAND, FRACTURES/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (MULTIPLE)"
SB815H,"HAND, POLYDACTYLY, AMPUTATION WITH RECONSTRUCTION"
SB816H,"HAND, SCAR, REVISION"
SB817H,"HAND, SOFT TISSUE TUMOR, EXCISION <1.5CM"
SB818H,"HAND, SUPERFICIAL INFECTION, DRAINAGE"
SB819H,"HAND, TUMORS, EXCISION WITH DISSECTION OF NEUROVASCULAR BUNDLE"
SB820H,"HAND, WART/CORN/NAEVUS, EXCISION"
SB821H,"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION"
SB822H,"HEAD-FACE, SOFT TISSUE TUMORS (SMALL), EXCISION"
SB823H,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION"
SB824H,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION WITH BONE GRAFT"
SB825H,"HEAD-FACE, VARIOUS LESIONS, MAJOR CORRECTIVE SURGERY"
SB826H,"HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION"
SB827H,"HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION WITH GRAFTING/BONE SUBSTITUTE/BONE CEMENT"
SB828H,"HIP, CONGENITAL DISLOCATION, OPEN REDUCTION"
SB829H,"HIP, CONGENITAL DISLOCATION, OPEN REDUCTION INCLUDING RECONSTRUCTION"
SB830H,"HIP, DISLOCATION, MANIPULATION AND REDUCTION"
SB831H,"HIP, DISLOCATION, OPEN REDUCTION"
SB832H,"HIP, SNAPPING SYNDROME, RELEASE"
SB833H,"HIP, VARIOUS LESIONS, APPLICATION OF HIP SPICAS"
SB834H,"HIP, VARIOUS LESIONS, ARTHRODESIS"
SB835H,"HIP, VARIOUS LESIONS, ARTHROTOMY"
SB836H,"HIP, VARIOUS LESIONS, ARTHROTOMY AND SYNOVECTOMY"
SB837H,"HIP, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY"
SB838H,"HIP, VARIOUS LESIONS, HEMI-ARTHROPLASTY"
SB839H,"HIP, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT, OPEN/MIS/NAVIGATED"
SB840H,"HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH INTERNAL FIXATION AND BONE GRAFTING"
SB841H,"HUMERUS, PROXIMAL HUMERUS OR SUPRACONDYLAR FRACTURE, ORIF"
SB842H,HUMERUS SUPRACONDYLAR AND INTERCONDYLAR FRACTURE
SB700J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROSCOPY (UNILATERAL)"
SB701J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROSCOPY (BILATERAL)"
SB702J,"JOINTS, ARTHROSCOPY, DIAGNOSTIC"
SB703J,"JOINTS (LOWER LIMB, HIP), SEPTIC ARTHRITIS, CURETTAGE/DEBRIDEMENT AND IRRIGATION"
SB704J,"JOINTS (LOWER LIMB, HIP), SEPTIC ARTHRITIS, SIMPLE DRAINAGE"
SB705J,"JOINTS, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS, OPEN/MIS/NAVIGATED"
SB706J,"JOINTS, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT, OPEN/MIS/NAVIGATED"
SB707J,"JOINTS (SHOULDER), VARIOUS LESIONS, IMPINGEMENT SYNDROME"
SB708J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROCENTESIS (BILATERAL)"
SB709J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROCENTESIS (UNILATERAL)"
SB710J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, CONDYLECTOMY/CORONOIDECTOMY/MENISECTOMY"
SB711J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, CONDYLOTOMY"
SB712J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, CONDYLECTOMY WITH RECONSTRUCTION (BILATERAL)"
SB713J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, RECONSTRUCTION (BILATERAL)"
SB714J,"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, CURETTAGE/DEBRIDEMENT AND IRRIGATION"
SB715J,"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, SIMPLE DRAINAGE"
SB716J,"JOINTS (UPPER LIMB), VASCULAR INJURY, MAJOR VASCULAR RECONSTRUCTION/ANASTOMOSIS/GRAFT"
SB717J,"JOINTS, MAJOR INTRA-ARTICULAR FRACTURE WITH DISCONTINUITY OR BONE LOSS, RECONSTRUCTION (FOR LOWER LIMB)"
SB718J,"JOINTS, MAJOR INTRA-ARTICULAR FRACTURE WITH DISCONTINUITY OR BONE LOSS, RECONSTRUCTION (FOR UPPER LIMB)"
SB745J,"JOINT, VARIOUS LESIONS, JOINT ASPIRATION/ARTHROCENTESIS/INJECTION"
SB800J,"JOINTS (FINGER), CONTRACTURE, CAPSULECTOMY/CAPSULOTOMY"
SB801J,"JOINTS (FINGER), VARIOUS LESIONS, ARTHRODESIS"
SB802J,"JOINTS (FINGER), VARIOUS LESIONS, EXCISION ARTHROPLASTY"
SB803J,"JOINTS (FINGER), VARIOUS LESIONS, REPLACEMENT ARTHROPLASTY"
SB804J,"JOINTS (FOOT EXCLUDING ANKLE), SYNOVITIS, SYNOVECTOMY"
SB805J,"JOINTS (FINGER, INTERPHALANGEAL JOINTS, METACARPOPHALANGEAL JOINTS), SYNOVITIS, SYNOVECTOMY"
SB806J,"JOINTS (LOWER LIMB), SMALL, VARIOUS LESIONS, ARTHROPLASTY"
SB807J,"JOINTS (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE"
SB808J,"JOINTS (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH PLATE FIXATION AND FLUOROSCOPY"
SB809J,"JOINTS (LOWER LIMB), DISLOCATIONS, MANIPULATION AND KIRSCHNER WIRE FIXATION"
SB810J,"JOINTS (LOWER LIMB), DISLOCATIONS, WOUND DEBRIDEMENT"
